numUavs,k,psr
6,0.5,0.9743516666666666
6,1.0,0.987651
6,1.5,0.982183
6,2.0,0.9846400000000001
6,2.5,0.9828563333333333
6,3.0,0.9900696666666665
6,3.5,0.9882776666666667
6,4.0,0.985543
6,4.5,0.9802096666666668
8,0.5,0.9818516666666667
8,1.0,0.986497
8,1.5,0.981087
8,2.0,0.9798386666666666
8,2.5,0.9911283333333333
8,3.0,0.9821466666666666
8,3.5,0.9803966666666667
8,4.0,0.9799853333333334
8,4.5,0.967342
10,0.5,0.9837376666666667
10,1.0,0.9809746666666666
10,1.5,0.9752000000000001
10,2.0,0.9814326666666666
10,2.5,0.9707433333333334
10,3.0,0.9707746666666667
10,3.5,0.9874713333333335
10,4.0,0.9755516666666666
10,4.5,0.9654243333333333
6,0.5,0.9943793333333333
6,1.0,0.9907153333333333
6,1.5,0.9942893333333332
6,2.0,0.9837023333333333
6,2.5,0.9864853333333333
6,3.0,0.994665
6,3.5,0.9913336666666667
6,4.0,0.983548
6,4.5,0.995461
8,0.5,0.9929756666666667
8,1.0,0.9765313333333333
8,1.5,0.9860146666666667
8,2.0,0.9635716666666667
8,2.5,0.9945056666666666
8,3.0,0.9856903333333333
8,3.5,0.995275
8,4.0,0.9950766666666665
8,4.5,0.9916969999999999
10,0.5,0.9764209999999999
10,1.0,0.9762863333333334
6,0.5,0.9896586666666667
6,1.0,0.9914433333333333
6,1.5,0.9919966666666666
6,2.0,0.9906996666666666
6,2.5,0.991481
6,3.0,0.9877173333333333
6,3.5,0.995297
6,4.0,0.9853463333333332
6,4.5,0.9945049999999999
8,0.5,0.9909213333333332
8,1.0,0.9877816666666667
6,0.5,0.9884910000000001
6,1.0,0.9733626666666667
6,1.5,0.9859753333333333
6,2.0,0.9845333333333333
6,2.5,0.986399
6,3.0,0.9843583333333333
6,3.5,0.9821266666666667
6,4.0,0.9794756666666666
6,4.5,0.9820453333333333
8,0.5,0.9844013333333334
8,1.0,0.9906826666666667
8,1.5,0.9866846666666667
8,2.0,0.9738753333333333
8,2.5,0.9917233333333334
8,3.0,0.9878156666666666
8,3.5,0.9878626666666667
8,4.0,0.9882136666666667
8,4.5,0.9911533333333334
10,0.5,0.962611
6,0.5,0.9922706666666667
6,1.0,0.9891223333333334
6,1.5,0.9946393333333333
6,2.0,0.999175
6,2.5,0.9931896666666667
6,3.0,0.9928316666666667
6,3.5,0.9686663333333333
6,4.0,0.9942763333333332
6,4.5,0.9967743333333333
8,0.5,0.9568336666666667
8,1.0,0.9849346666666666
8,1.5,0.9936836666666666
8,2.0,0.9943946666666666
8,2.5,0.9938596666666667
8,3.0,0.991028
8,3.5,0.9951679999999999
