numUavs,k,disctime
6,0.5,0.026055566666666665
6,1.0,0.02575
6,1.5,0.0328611
6,2.0,0.030027800000000004
6,2.5,0.027694433333333334
6,3.0,0.031888900000000005
6,3.5,0.024361099999999997
6,4.0,0.025361099999999998
6,4.5,0.03491666666666667
8,0.5,0.026083333333333333
8,1.0,0.025854166666666664
8,1.5,0.024229166666666666
8,2.0,0.028354166666666666
8,2.5,0.01995833333333333
8,3.0,0.023750000000000004
8,3.5,0.01958333333333333
8,4.0,0.026625
8,4.5,0.03641666666666666
10,0.5,0.027783333333333337
10,1.0,0.021633333333333334
10,1.5,0.025033333333333335
10,2.0,0.020116666666666665
10,2.5,0.022133333333333335
10,3.0,0.021633333333333334
10,3.5,0.009566666666666666
10,4.0,0.01933333333333333
10,4.5,0.022016666666666667
6,0.5,0.022194433333333333
6,1.0,0.0143333
6,1.5,0.019416666666666665
6,2.0,0.03372223333333333
6,2.5,0.011027776666666668
6,3.0,0.011972210000000002
6,3.5,0.015472223333333333
6,4.0,0.015555543333333333
6,4.5,0.006555553333333333
8,0.5,0.015916666666666666
8,1.0,0.021562500000000002
8,1.5,0.020583333333333332
8,2.0,0.0194375
8,2.5,0.0077083333333333335
8,3.0,0.015875
8,3.5,0.0075625
8,4.0,0.009770833333333333
8,4.5,0.017770833333333333
10,0.5,0.0271
10,1.0,0.016583333333333335
6,0.5,0.015027766666666666
6,1.0,0.022999999999999996
6,1.5,0.022416666666666668
6,2.0,0.014333333333333335
6,2.5,0.011055556666666667
6,3.0,0.011499990000000002
6,3.5,0.006583333333333333
6,4.0,0.01316669
6,4.5,0.006416666666666667
8,0.5,0.010520833333333333
8,1.0,0.016708333333333335
6,0.5,0.020861100000000004
6,1.0,0.03186113333333334
6,1.5,0.0257222
6,2.0,0.0223611
6,2.5,0.014888890000000002
6,3.0,0.018055556666666667
6,3.5,0.02291666666666667
6,4.0,0.02102776666666667
6,4.5,0.0118611
8,0.5,0.02879166666666667
8,1.0,0.027999999999999997
8,1.5,0.014854166666666667
8,2.0,0.0201875
8,2.5,0.014520833333333335
8,3.0,0.0183125
8,3.5,0.012833333333333334
8,4.0,0.009229166666666665
8,4.5,0.007833333333333333
10,0.5,0.023933333333333334
6,0.5,0.012972243333333333
6,1.0,0.01061111
6,1.5,0.011444456666666667
6,2.0,0.005583333333333333
6,2.5,0.009944433333333334
6,3.0,0.010694433333333331
6,3.5,0.009222233333333335
6,4.0,0.01149999
6,4.5,0.006916666666666667
8,0.5,0.018083333333333333
8,1.0,0.012041666666666666
8,1.5,0.011375000000000001
8,2.0,0.012895833333333334
8,2.5,0.00925
8,3.0,0.011333333333333334
8,3.5,0.009395833333333332
